--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
035.541  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
035.660  000.067  000.067: require('nvim-treesitter.highlight')
035.666  003.267  000.392: require('nvim-treesitter')
035.668  003.443  000.073: require('telescope.previewers.utils')
035.716  004.872  000.130: require('telescope.previewers.term_previewer')
036.256  000.437  000.437: require('plenary.filetype')
037.119  000.862  000.862: require('plenary.scandir')
037.147  001.430  000.131: require('telescope.previewers.buffer_previewer')
037.150  008.579  000.779: require('telescope.previewers')
037.248  000.097  000.097: require('octo.notifications')
037.349  000.100  000.100: require('octo.workflow_runs')
037.352  008.855  000.080: require('octo.pickers.telescope.previewers')
037.569  000.065  000.065: require('telescope.config.resolve')
037.571  000.130  000.065: require('telescope.pickers.entry_display')
037.574  000.221  000.091: require('octo.pickers.telescope.entry_maker')
037.832  000.068  000.068: require('plenary.window.border')
037.925  000.092  000.092: require('plenary.window')
037.979  000.054  000.054: require('plenary.popup.utils')
037.981  000.303  000.089: require('plenary.popup')
038.041  000.059  000.059: require('telescope.pickers.scroller')
038.120  000.078  000.078: require('telescope.actions.state')
038.185  000.065  000.065: require('telescope.actions.utils')
038.329  000.077  000.077: require('telescope.actions.mt')
038.341  000.155  000.078: require('telescope.actions.set')
038.498  000.924  000.264: require('telescope.actions')
038.708  000.141  000.141: require('telescope.make_entry')
039.115  000.061  000.061: require('plenary.tbl')
039.117  000.123  000.062: require('plenary.vararg.rotate')
039.118  000.188  000.065: require('plenary.vararg')
039.175  000.057  000.057: require('plenary.errors')
039.177  000.311  000.066: require('plenary.async.async')
039.431  000.067  000.067: require('plenary.async.structs')
039.435  000.137  000.070: require('plenary.async.control')
039.438  000.202  000.065: require('plenary.async.util')
039.440  000.262  000.059: require('plenary.async.tests')
039.441  000.648  000.075: require('plenary.async')
039.442  000.733  000.086: require('telescope.finders.async_static_finder')
039.638  000.063  000.063: require('plenary.class')
039.645  000.141  000.077: require('telescope._')
039.646  000.204  000.063: require('telescope.finders.async_oneshot_finder')
